Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Andre Lott,CB,Tennessee,5-10,194.0,4.48,36.5,15.0,119.0,7.1,4.01,2002,70.0,0
Omare Lowe,CB,Washington,6-1,196.0,4.58,35.5,12.0,118.0,6.65,3.97,2002,73.0,0
Chris Luzar,TE,Virginia,6-7,270.0,4.76,32.5,22.0,115.0,6.84,4.17,2002,79.0,1
Wesly Mallard,S,Oregon,6-2,221.0,4.49,41.0,22.0,122.0,6.81,4.07,2002,74.0,0
Ivory McCoy,TE,Michigan State,6-4,240.0,4.59,35.0,25.0,113.0,7.3,4.24,2002,76.0,1
Jon McGraw,S,Kansas State,6-3,208.0,4.5,39.5,13.0,126.0,6.51,3.92,2002,75.0,0
Randy McMichael,TE,Georgia,6-3,247.0,4.88,29.5,18.0,112.0,7.58,4.28,2002,75.0,1
Dicenzo Miller,RB,Mississippi State,5-10,215.0,4.93,31.0,8.0,107.0,7.25,4.39,2002,70.0,1
Mel Mitchell,S,Western Kentucky,6-1,220.0,4.55,35.0,15.0,128.0,7.0,4.15,2002,73.0,0
Tony Okanlawon,CB,Maryland,5-10,185.0,4.67,38.0,16.0,118.0,7.37,4.39,2002,70.0,0
Justin Peelle,TE,Oregon,6-4,255.0,4.75,29.0,21.0,110.0,7.34,4.29,2002,76.0,1
Adrian Peterson,RB,Georgia Southern,5-10,214.0,4.68,34.0,14.0,119.0,7.59,4.6,2002,70.0,1
Tellis Redmon,RB,Minnesota,5-11,210.0,4.61,32.0,20.0,113.0,7.08,4.14,2002,71.0,0
Robert Royal,TE,LSU,6-5,253.0,4.97,31.0,14.0,114.0,7.37,4.27,2002,77.0,1
Josh Scobey,RB,Kansas State,5-11,218.0,4.42,40.5,21.0,124.0,6.96,3.93,2002,71.0,0
Bobby Sippio,CB,Western Kentucky,6-3,214.0,4.69,37.0,12.0,123.0,6.78,4.2,2002,75.0,0
Derek Smith,TE,Kentucky,6-4,271.0,4.9,28.5,16.0,112.0,7.46,4.38,2002,76.0,1
Lew Thomas,RB,Vanderbilt,5-9,210.0,4.59,36.0,17.0,115.0,6.87,4.21,2002,69.0,0
Dante Wesley,CB,Ark-Pine Bluff,6-1,211.0,4.43,35.0,15.0,116.0,7.25,4.22,2002,73.0,0
Tank Williams,S,Stanford,6-2,222.0,4.46,38.5,19.0,125.0,6.78,3.93,2002,74.0,0
Coy Wire,S,Stanford,6-0,209.0,4.56,38.5,28.0,120.0,6.62,3.87,2002,72.0,0
Tracey Wistrom,TE,Nebraska,6-4,245.0,4.92,33.5,17.0,116.0,7.09,4.1,2002,76.0,1
Rod Babers,CB,Texas,5-9,192.0,4.43,37.0,15.0,127.0,6.83,4.07,2003,69.0,0
Chris Brown,S,Ala-Birmingham,6-0,195.0,4.59,35.5,15.0,126.0,7.05,4.13,2003,72.0,0
Curry Burns,S,Louisville,6-0,216.0,4.56,36.0,19.0,120.0,7.04,4.16,2003,72.0,0
Kerry Carter,RB,Stanford,6-2,238.0,4.61,36.0,20.0,118.0,7.29,4.39,2003,74.0,1
Avon Cobourne,RB,West Virginia,5-7,205.0,4.7,31.5,21.0,112.0,7.21,4.18,2003,67.0,0
Dan Curley,TE,East. Washington,6-4,254.0,4.63,35.5,17.0,118.0,7.47,4.53,2003,76.0,1
