Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Doug Martin,RB,Boise State,5-9,223.0,4.46,36.0,28.0,120.0,6.79,4.16,2012,69.0,0
Keshawn Martin,WR,Michigan State,5-11,188.0,4.42,39.5,13.0,122.0,6.85,4.13,2012,71.0,0
Kelcie McCray,S,Arkansas State,6-2,202.0,4.48,30.5,12.0,122.0,7.0,4.29,2012,74.0,0
Jerron McMillian,S,Maine,5-11,203.0,4.47,36.5,17.0,120.0,6.69,4.22,2012,71.0,0
Davin Meggett,RB,Maryland,5-8,211.0,4.5,35.0,23.0,118.0,7.14,4.32,2012,68.0,0
Charles Mitchell,S,Mississippi State,5-11,202.0,4.56,37.0,19.0,127.0,6.93,4.22,2012,71.0,0
Kashif Moore,WR,Connecticut,5-9,180.0,4.36,43.5,19.0,126.0,6.82,4.05,2012,69.0,0
Alfred Morris,RB,Florida Atlantic,5-10,219.0,4.63,35.5,16.0,117.0,7.01,4.19,2012,70.0,0
Josh Norman,CB,Coastal Carolina,6-0,197.0,4.61,33.0,14.0,124.0,7.09,4.23,2012,72.0,0
Chris Owusu,WR,Stanford,6-0,196.0,4.36,40.5,19.0,129.0,6.85,4.11,2012,72.0,0
Eric Page,WR,Toledo,5-9,186.0,4.5,30.0,15.0,112.0,6.95,3.98,2012,69.0,0
David Paulson,TE,Oregon,6-3,246.0,4.79,32.0,21.0,110.0,7.18,4.4,2012,75.0,1
Bernard Pierce,RB,Temple,6-0,218.0,4.45,36.5,17.0,123.0,7.07,4.28,2012,72.0,0
Eddie Pleasant,S,Oregon,5-10,211.0,4.53,33.5,22.0,116.0,7.12,4.28,2012,70.0,0
Tauren Poole,RB,Tennessee,5-10,205.0,4.48,34.0,24.0,118.0,7.36,4.19,2012,70.0,0
DeVier Posey,WR,Ohio State,6-2,211.0,4.39,36.5,14.0,123.0,7.03,4.15,2012,74.0,0
Chaz Powell,CB,Penn State,6-0,203.0,4.42,33.0,17.0,121.0,6.84,4.16,2012,72.0,0
DeAndre Presley,CB,Appalachian State,5-10,185.0,4.53,32.0,8.0,114.0,7.19,4.28,2012,70.0,0
Cyhl Quarles,S,Wake Forest,6-1,213.0,4.54,32.5,19.0,119.0,7.21,4.32,2012,73.0,1
Brian Quick,WR,Appalachian State,6-3,220.0,4.5,34.0,15.0,119.0,7.1,4.23,2012,75.0,0
Chris Rainey,RB,Florida,5-8,180.0,4.36,36.5,16.0,120.0,6.5,3.93,2012,68.0,0
Rueben Randle,WR,LSU,6-3,210.0,4.55,31.0,15.0,121.0,6.99,4.36,2012,75.0,0
Sean Richardson,S,Vanderbilt,6-2,216.0,4.43,38.5,22.0,128.0,7.01,4.44,2012,74.0,0
Josh Robinson,CB,Central Florida,5-10,199.0,4.29,38.5,17.0,133.0,6.55,3.97,2012,70.0,0
Mohamed Sanu,WR,Rutgers,6-1,211.0,4.62,36.0,19.0,126.0,6.88,4.22,2012,73.0,0
Coty Sensabaugh,CB,Clemson,5-11,189.0,4.33,37.0,15.0,122.0,6.6,4.06,2012,71.0,0
Harrison Smith,S,Notre Dame,6-2,213.0,4.54,34.0,19.0,122.0,6.63,4.12,2012,74.0,0
Ryan Steed,CB,Furman,5-10,195.0,4.64,34.0,12.0,121.0,6.94,4.22,2012,70.0,0
Darron Thomas,QB,Oregon,6-3,220.0,4.77,36.0,14.0,121.0,7.17,4.28,2012,75.0,1
Johnny Thomas,S,Oklahoma State,5-10,206.0,4.57,35.5,20.0,123.0,7.01,4.25,2012,70.0,0
Christian Thompson,S,South Carolina State,6-0,211.0,4.42,31.5,18.0,122.0,7.33,4.13,2012,72.0,0
Robert Turbin,RB,Utah State,5-10,222.0,4.42,36.0,28.0,122.0,7.16,4.31,2012,70.0,0
Trevin Wade,CB,Arizona,5-10,192.0,4.52,34.5,18.0,116.0,6.87,4.0,2012,70.0,0
Corey White,S,Samford,5-11,206.0,4.53,37.5,15.0,126.0,6.72,4.22,2012,71.0,0
Jordan White,WR,West. Michigan,6-0,208.0,4.63,35.0,14.0,119.0,6.84,4.13,2012,72.0,0
Jarius Wright,WR,Arkansas,5-10,182.0,4.39,38.0,11.0,120.0,6.93,4.03,2012,70.0,0
Robert Alford,CB,SE Louisiana,5-10,188.0,4.39,40.0,17.0,132.0,6.89,4.23,2013,70.0,0
C.J. Anderson,RB,California,5-8,224.0,4.6,32.0,17.0,119.0,7.15,4.12,2013,68.0,0
Marc Anthony,CB,California,5-11,196.0,4.63,35.0,12.0,118.0,6.74,4.07,2013,71.0,0
Stedman Bailey,WR,West Virginia,5-10,193.0,4.52,34.5,11.0,117.0,6.81,4.09,2013,70.0,0
Montee Ball,RB,Wisconsin,5-10,214.0,4.66,32.0,15.0,118.0,6.88,4.4,2013,70.0,0
Johnthan Banks,CB,Mississippi State,6-2,185.0,4.61,34.0,10.0,125.0,6.97,4.27,2013,74.0,0
Kenjon Barner,RB,Oregon,5-9,196.0,4.52,35.5,20.0,122.0,6.87,4.2,2013,69.0,0
Le'Veon Bell,RB,Michigan State,6-1,230.0,4.6,31.5,24.0,118.0,6.75,4.24,2013,73.0,1
Giovani Bernard,RB,North Carolina,5-8,202.0,4.53,33.5,19.0,122.0,6.91,4.12,2013,68.0,0
Josh Boyce,WR,TCU,5-11,206.0,4.38,34.0,22.0,131.0,6.68,4.1,2013,71.0,0
Rex Burkhead,RB,Nebraska,5-10,214.0,4.73,39.0,21.0,125.0,6.85,4.09,2013,70.0,0
Adrian Bushell,CB,Louisville,5-9,186.0,4.58,33.0,17.0,116.0,6.92,4.25,2013,69.0,0
Knile Davis,RB,Arkansas,5-11,227.0,4.37,33.5,31.0,121.0,6.96,4.38,2013,71.0,0
Will Davis,CB,Utah State,5-11,186.0,4.51,35.5,16.0,127.0,6.52,4.02,2013,71.0,0
Mike Edwards,CB,Hawaii,5-9,189.0,4.56,36.0,14.0,124.0,6.94,4.18,2013,69.0,0
Tyler Eifert,TE,Notre Dame,6-5,250.0,4.68,35.5,22.0,119.0,6.92,4.32,2013,77.0,1
Zach Ertz,TE,Stanford,6-5,249.0,4.76,30.5,24.0,111.0,7.08,4.47,2013,77.0,1
Michael Ford,RB,LSU,5-9,210.0,4.5,38.5,25.0,130.0,6.87,4.25,2013,69.0,0
Johnathan Franklin,RB,UCLA,5-10,205.0,4.49,31.5,18.0,115.0,6.89,4.31,2013,70.0,0
Matt Furstenburg,TE,Maryland,6-4,242.0,4.62,35.5,18.0,115.0,7.09,4.35,2013,76.0,1
Mike Gillislee,RB,Florida,5-11,208.0,4.55,30.5,15.0,119.0,7.12,4.4,2013,71.0,0
Tyrone Goard,WR,East. Kentucky,6-4,205.0,4.5,36.0,10.0,123.0,6.9,4.39,2013,76.0,0
Chris Gragg,TE,Arkansas,6-3,244.0,4.5,37.5,18.0,125.0,7.08,4.51,2013,75.0,1
Ray Graham,RB,Pittsburgh,5-9,199.0,4.8,32.5,18.0,112.0,7.17,4.21,2013,69.0,1
Dwayne Gratz,CB,Connecticut,5-11,201.0,4.47,38.0,22.0,125.0,6.7,4.15,2013,71.0,0
MarQueis Gray,QB,Minnesota,6-3,240.0,4.65,30.0,15.0,111.0,7.25,4.3,2013,75.0,1
D.J. Harper,RB,Boise State,5-9,211.0,4.52,33.5,23.0,120.0,7.07,4.35,2013,69.0,0
Chris Harper,WR,Kansas State,6-1,229.0,4.55,35.5,20.0,116.0,6.89,4.39,2013,73.0,0
Montel Harris,RB,Temple,5-8,208.0,4.68,32.5,19.0,113.0,6.95,4.18,2013,68.0,0
Mark Harrison,WR,Rutgers,6-3,231.0,4.46,38.5,17.0,129.0,6.99,4.33,2013,75.0,0
Micah Hyde,CB,Iowa,6-0,197.0,4.56,33.0,12.0,121.0,6.78,4.2,2013,72.0,0
Stefphon Jefferson,RB,Nevada,5-10,213.0,4.68,31.0,15.0,117.0,6.97,4.44,2013,70.0,1
Josh Johnson,CB,Purdue,5-9,199.0,4.65,35.0,16.0,114.0,6.99,4.25,2013,69.0,0
Keelan Johnson,S,Arizona State,6-0,209.0,4.54,36.5,12.0,125.0,6.77,4.07,2013,72.0,0
Brandon Kaufman,WR,East. Washington,6-5,216.0,4.67,33.5,9.0,115.0,7.11,4.44,2013,77.0,1
Tavarres King,WR,Georgia,6-0,189.0,4.47,36.5,11.0,123.0,6.91,4.33,2013,72.0,0
Alec Lemon,WR,Syracuse,6-1,202.0,4.59,32.0,7.0,112.0,7.04,4.29,2013,73.0,0
Philip Lutzenkirchen,TE,Auburn,6-3,258.0,4.94,30.5,21.0,112.0,7.15,4.35,2013,75.0,1
Tyrann Mathieu,CB,LSU,5-9,186.0,4.5,34.0,4.0,117.0,6.87,4.14,2013,69.0,0
Demetrius McCray,CB,Appalachian State,6-1,187.0,4.54,36.0,4.0,126.0,7.17,4.32,2013,73.0,0
T.J. McDonald,S,USC,6-2,219.0,4.59,40.0,19.0,131.0,6.89,4.2,2013,74.0,0
Vance McDonald,TE,Rice,6-4,267.0,4.69,33.5,31.0,119.0,7.08,4.53,2013,76.0,1
Brad McDougald,S,Illinois,6-0,215.0,4.51,34.5,19.0,122.0,7.07,4.44,2013,72.0,0
Leon McFadden,CB,San Diego State,5-10,193.0,4.54,34.5,10.0,119.0,6.81,4.27,2013,70.0,0
Brandon McGee,CB,Miami (FL),5-11,193.0,4.4,33.5,14.0,119.0,6.71,4.18,2013,71.0,0
Aaron Mellette,WR,Elon,6-2,217.0,4.54,33.5,9.0,123.0,7.11,4.41,2013,74.0,0
Christine Michael,RB,Texas A&M,5-10,220.0,4.54,43.0,27.0,125.0,6.69,4.02,2013,70.0,0
T.J. Moe,WR,Missouri,5-11,204.0,4.74,36.0,26.0,120.0,6.53,3.96,2013,71.0,0
Zeke Motta,S,Notre Dame,6-2,213.0,4.75,35.5,11.0,126.0,6.75,4.16,2013,74.0,0
Chris Pantale,TE,Boston Col.,6-5,254.0,4.99,33.5,17.0,110.0,7.48,4.5,2013,77.0,1
Quinton Patton,WR,Louisiana Tech,6-0,204.0,4.53,33.0,8.0,118.0,6.91,4.01,2013,72.0,0
Jordan Poyer,CB,Oregon State,6-0,191.0,4.54,30.5,8.0,118.0,6.87,4.18,2013,72.0,0
Eric Reid,S,LSU,6-1,213.0,4.53,40.5,17.0,134.0,6.99,4.22,2013,73.0,0
Mychal Rivera,TE,Tennessee,6-3,242.0,4.81,31.0,17.0,112.0,7.17,4.43,2013,75.0,1
Nickell Robey,CB,USC,5-7,169.0,4.53,37.5,10.0,127.0,6.74,4.09,2013,67.0,0
Da'Rick Rogers,WR,Tennessee Tech,6-2,217.0,4.5,39.5,10.0,132.0,6.71,4.06,2013,74.0,0
Robbie Rouse,RB,Fresno State,5-6,190.0,4.8,34.0,15.0,114.0,6.97,4.25,2013,66.0,0
Logan Ryan,CB,Rutgers,5-11,191.0,4.56,32.5,14.0,116.0,6.69,4.06,2013,71.0,0
Lanear Sampson,WR,Baylor,5-11,204.0,4.46,33.5,20.0,119.0,7.1,4.38,2013,71.0,0
Ace Sanders,WR,South Carolina,5-7,173.0,4.58,32.0,7.0,117.0,6.81,4.37,2013,67.0,0
Dion Sims,TE,Michigan State,6-5,262.0,4.75,35.0,22.0,112.0,7.36,4.52,2013,77.0,1
Darius Slay,CB,Mississippi State,6-0,192.0,4.36,35.5,14.0,124.0,6.9,4.21,2013,72.0,0
Ryan Spadola,WR,Lehigh,6-1,204.0,4.48,33.5,15.0,119.0,6.72,4.07,2013,73.0,0
Zac Stacy,RB,Vanderbilt,5-8,216.0,4.55,33.0,27.0,122.0,6.7,4.17,2013,68.0,0
Jawanza Starling,S,USC,6-1,202.0,4.64,36.0,17.0,122.0,6.68,4.34,2013,73.0,0
Jake Stoneburner,TE,Ohio State,6-3,252.0,4.65,34.5,18.0,116.0,7.12,4.27,2013,75.0,1
D.J. Swearinger,S,South Carolina,5-10,208.0,4.67,37.0,17.0,124.0,6.7,4.11,2013,70.0,0
Ryan Swope,WR,Texas A&M,6-0,205.0,4.34,37.0,16.0,125.0,6.76,4.25,2013,72.0,0
Jamar Taylor,CB,Boise State,5-11,192.0,4.39,35.0,22.0,127.0,6.82,4.06,2013,71.0,0
Stepfan Taylor,RB,Stanford,5-9,214.0,4.76,30.0,17.0,110.0,7.13,4.5,2013,69.0,1
Kenbrell Thompkins,WR,Cincinnati,6-1,193.0,4.54,33.5,8.0,121.0,6.88,4.21,2013,73.0,0
Levine Toilolo,TE,Stanford,6-8,260.0,4.86,31.0,17.0,113.0,7.09,4.57,2013,80.0,1
Kenny Vaccaro,S,Texas,6-0,214.0,4.63,38.0,15.0,121.0,6.78,4.06,2013,72.0,0
B.W. Webb,CB,William & Mary,5-10,184.0,4.51,40.5,14.0,132.0,6.82,3.84,2013,70.0,0
Markus Wheaton,WR,Oregon State,5-11,189.0,4.45,37.0,20.0,120.0,6.8,4.02,2013,71.0,0
J.J. Wilcox,S,Georgia Southern,6-0,213.0,4.57,35.0,17.0,124.0,7.02,4.09,2013,72.0,0
Kerwynn Williams,RB,Utah State,5-8,195.0,4.48,35.0,17.0,118.0,7.15,4.15,2013,68.0,0
Shawn Williams,S,Georgia,6-0,213.0,4.46,36.0,25.0,120.0,7.01,4.25,2013,72.0,0
Steve Williams,CB,California,5-9,181.0,4.42,40.5,12.0,128.0,6.89,4.1,2013,69.0,0
Terrance Williams,WR,Baylor,6-2,208.0,4.52,32.5,11.0,119.0,7.01,4.32,2013,74.0,0
Marquess Wilson,WR,Washington State,6-3,194.0,4.51,34.5,7.0,122.0,6.65,4.33,2013,75.0,0
Robert Woods,WR,USC,6-0,201.0,4.51,33.5,14.0,117.0,7.15,4.47,2013,72.0,0
Khalid Wooten,CB,Nevada,5-11,210.0,4.53,33.5,17.0,117.0,6.95,4.18,2013,71.0,0
Blidi Wreh-Wilson,CB,Connecticut,6-1,195.0,4.53,36.0,14.0,128.0,6.97,4.12,2013,73.0,0
Jared Abbrederis,WR,Wisconsin,6-1,195.0,4.5,30.5,4.0,117.0,6.8,4.08,2014,73.0,0
Davante Adams,WR,Fresno State,6-1,212.0,4.56,39.5,14.0,123.0,6.82,4.3,2014,73.0,0
Jace Amaro,TE,Texas Tech,6-5,265.0,4.74,33.0,28.0,118.0,7.42,4.3,2014,77.0,1
Antonio Andrews,RB,Western Kentucky,5-10,225.0,4.82,29.5,20.0,106.0,7.24,4.49,2014,70.0,1
Dri Archer,WR,Kent State,5-8,173.0,4.26,38.0,20.0,122.0,6.86,4.06,2014,68.0,0
George Atkinson,RB,Notre Dame,6-1,218.0,4.48,38.0,19.0,121.0,7.07,4.46,2014,73.0,0
Kelvin Benjamin,WR,Florida State,6-5,240.0,4.61,32.5,13.0,119.0,7.33,4.39,2014,77.0,1
Bene' Benwikere,CB,San Jose State,5-11,195.0,4.59,40.5,10.0,122.0,6.94,4.38,2014,71.0,0
Nat Berhe,S,San Diego State,5-10,193.0,4.71,35.5,15.0,117.0,7.08,4.22,2014,70.0,0
Alfred Blue,RB,LSU,6-2,223.0,4.63,32.0,13.0,121.0,7.15,4.5,2014,74.0,1
Tre Boston,S,North Carolina,6-0,204.0,4.58,35.0,18.0,116.0,7.04,4.31,2014,72.0,0
Bashaud Breeland,CB,Clemson,5-11,197.0,4.62,34.5,11.0,123.0,7.04,4.33,2014,71.0,0
Martavis Bryant,WR,Clemson,6-4,211.0,4.42,39.0,16.0,124.0,7.18,4.15,2014,76.0,0
Deone Bucannon,S,Washington State,6-1,211.0,4.49,36.5,19.0,125.0,6.96,4.26,2014,73.0,0
Isaiah Burse,WR,Fresno State,5-10,188.0,4.58,31.0,16.0,115.0,6.74,3.94,2014,70.0,0
Michael Campanaro,WR,Wake Forest,5-9,192.0,4.46,39.0,20.0,122.0,6.77,4.01,2014,69.0,0
Ka'Deem Carey,RB,Arizona,5-9,207.0,4.69,32.5,19.0,115.0,7.08,4.38,2014,69.0,0
Ha Ha Clinton-Dix,S,Alabama,6-1,208.0,4.58,33.0,11.0,119.0,7.16,4.16,2014,73.0,0
Ross Cockrell,CB,Duke,6-0,191.0,4.56,36.5,10.0,122.0,7.28,4.32,2014,72.0,0
Brandin Cooks,WR,Oregon State,5-10,189.0,4.33,36.0,16.0,120.0,6.76,3.81,2014,70.0,0
Damian Copeland,WR,Louisville,5-11,184.0,4.5,40.0,12.0,120.0,6.53,3.9,2014,71.0,0
Pierre Desir,CB,Lindenwood,6-1,198.0,4.59,35.0,11.0,133.0,6.86,4.3,2014,73.0,0
Ahmad Dixon,S,Baylor,6-0,212.0,4.64,32.0,14.0,111.0,7.55,4.5,2014,72.0,1
Brandon Dixon,CB,Northwest Missouri State,5-11,203.0,4.41,32.5,17.0,117.0,7.15,4.27,2014,71.0,0
Jonathan Dowling,S,Western Kentucky,6-3,190.0,4.52,33.5,8.0,118.0,7.04,4.24,2014,75.0,0
Bruce Ellington,WR,South Carolina,5-9,197.0,4.45,39.5,15.0,120.0,6.69,3.95,2014,69.0,0
Shaquelle Evans,WR,UCLA,6-1,213.0,4.51,34.5,13.0,122.0,7.07,4.21,2014,73.0,0
Antone Exum,CB,Virginia Tech,6-0,213.0,4.59,35.0,17.0,117.0,7.05,4.13,2014,72.0,0
C.J. Fiedorowicz,TE,Iowa,6-5,265.0,4.76,31.5,25.0,116.0,7.1,4.26,2014,77.0,1
Austin Franklin,WR,New Mexico State,5-11,189.0,4.56,36.0,7.0,124.0,7.07,4.33,2014,71.0,0
Kyle Fuller,CB,Virginia Tech,6-0,190.0,4.49,38.5,12.0,128.0,6.9,4.19,2014,72.0,0
Phillip Gaines,CB,Rice,6-0,193.0,4.38,36.5,11.0,122.0,6.62,4.04,2014,72.0,0
Demetri Goodson,CB,Baylor,5-11,194.0,4.52,37.0,11.0,123.0,6.8,4.34,2014,71.0,0
Ryan Grant,WR,Tulane,6-0,199.0,4.64,35.5,8.0,119.0,6.68,4.11,2014,72.0,0
Andre Hal,CB,Vanderbilt,5-10,188.0,4.5,35.5,15.0,119.0,7.14,4.27,2014,70.0,0
Victor Hampton,CB,South Carolina,5-9,197.0,4.69,33.5,20.0,118.0,7.01,4.2,2014,69.0,0
Matt Hazel,WR,Coastal Carolina,6-1,198.0,4.5,36.5,15.0,118.0,7.08,4.2,2014,73.0,0
Robert Herron,WR,Wyoming,5-9,193.0,4.48,35.5,18.0,125.0,6.84,4.27,2014,69.0,0
Cody Hoffman,WR,BYU,6-4,223.0,4.65,27.5,13.0,108.0,6.89,4.2,2014,76.0,1
Marqueston Huff,S,Wyoming,5-11,196.0,4.49,35.5,15.0,118.0,7.26,4.19,2014,71.0,0
Allen Hurns,WR,Miami (FL),6-1,198.0,4.55,31.0,14.0,120.0,7.23,4.5,2014,73.0,1
Bennett Jackson,CB,Notre Dame,6-0,195.0,4.51,38.0,13.0,128.0,6.75,4.0,2014,72.0,0
Jeff Janis,WR,Saginaw Valley State,6-3,219.0,4.42,37.5,20.0,123.0,6.64,3.98,2014,75.0,0
Marcel Jensen,TE,Fresno State,6-6,259.0,4.85,35.0,24.0,115.0,7.38,4.6,2014,78.0,1
Dontae Johnson,CB,North Carolina State,6-2,200.0,4.41,38.5,12.0,124.0,6.82,4.24,2014,74.0,0
Henry Josey,RB,Missouri,5-8,194.0,4.43,34.5,20.0,118.0,7.07,4.13,2014,68.0,0
Lamarcus Joyner,CB,Florida State,5-8,184.0,4.55,37.5,14.0,124.0,7.26,4.4,2014,68.0,0
"Odell Beckham, Jr.",WR,LSU,5-11,198.0,4.38,38.5,7.0,122.0,6.69,3.94,2014,71.0,0
"James Wilder, Jr.",RB,Florida State,6-3,232.0,4.65,35.0,18.0,121.0,6.92,4.24,2014,75.0,1
Nevin Lawson,CB,Utah State,5-9,190.0,4.48,33.0,16.0,120.0,7.12,4.4,2014,69.0,0
Isaiah Lewis,S,Michigan State,5-10,211.0,4.6,36.5,15.0,122.0,7.05,4.47,2014,70.0,0
Craig Loston,S,LSU,6-1,217.0,4.65,32.5,12.0,119.0,7.15,4.35,2014,73.0,1
Marcus Lucas,WR,Missouri,6-4,218.0,4.6,36.0,20.0,124.0,7.07,4.25,2014,76.0,0
Arthur Lynch,TE,Georgia,6-5,258.0,4.82,29.5,28.0,116.0,7.38,4.35,2014,77.0,1
Jordan Matthews,WR,Vanderbilt,6-3,212.0,4.46,35.5,21.0,120.0,6.95,4.18,2014,75.0,0
Jerick McKinnon,RB,Georgia Southern,5-9,209.0,4.41,40.5,32.0,132.0,6.83,4.12,2014,69.0,0
Donte Moncrief,WR,Mississippi,6-2,221.0,4.4,39.5,13.0,132.0,7.02,4.3,2014,74.0,0
Jake Murphy,TE,Utah,6-4,249.0,4.79,33.0,24.0,114.0,7.18,4.27,2014,76.0,1
Jordan Najvar,TE,Baylor,6-6,256.0,4.93,32.5,18.0,112.0,7.14,4.47,2014,78.0,1
Troy Niklas,TE,Notre Dame,6-6,270.0,4.84,32.0,27.0,114.0,7.57,4.55,2014,78.0,1
Kevin Norwood,WR,Alabama,6-2,198.0,4.48,33.0,8.0,121.0,6.68,4.32,2014,74.0,0
LaDarius Perkins,RB,Mississippi State,5-7,195.0,4.46,35.5,23.0,124.0,7.08,4.3,2014,67.0,0
Rashaad Reynolds,CB,Oregon State,5-10,189.0,4.51,37.5,20.0,123.0,6.72,4.0,2014,70.0,0
Marcus Roberson,CB,Florida,6-0,191.0,4.61,37.5,8.0,120.0,6.84,4.08,2014,72.0,0
Richard Rodgers,TE,California,6-4,257.0,4.87,31.5,16.0,116.0,7.23,4.47,2014,76.0,1
Bishop Sankey,RB,Washington,5-9,209.0,4.49,35.5,26.0,126.0,6.75,4.0,2014,69.0,0
Charles Sims,RB,West Virginia,6-0,214.0,4.48,37.5,17.0,126.0,7.16,4.3,2014,72.0,0
Jerome Smith,RB,Syracuse,5-11,220.0,4.84,36.0,14.0,118.0,7.53,4.6,2014,71.0,1
Willie Snead,WR,Ball State,5-11,195.0,4.62,33.5,11.0,113.0,7.19,4.39,2014,71.0,0
Daniel Sorensen,S,BYU,6-1,205.0,4.67,32.0,13.0,114.0,6.47,3.95,2014,73.0,0
Josh Stewart,WR,Oklahoma State,5-10,178.0,4.69,35.0,11.0,117.0,7.1,4.33,2014,70.0,0
Lorenzo Taliaferro,RB,Coastal Carolina,6-0,229.0,4.58,33.0,18.0,118.0,6.88,4.22,2014,72.0,0
Brock Vereen,S,Minnesota,6-0,199.0,4.47,34.0,25.0,117.0,6.9,4.07,2014,72.0,0
L'Damian Washington,WR,Missouri,6-4,195.0,4.46,32.0,8.0,115.0,7.19,4.35,2014,76.0,0
Sammy Watkins,WR,Clemson,6-1,211.0,4.43,34.0,16.0,126.0,6.95,4.34,2014,73.0,0
Larry Webster,TE,Bloomsburg,6-6,252.0,4.58,36.5,17.0,123.0,7.29,4.44,2014,78.0,1
Lavelle Westbrooks,CB,Georgia Southern,5-11,186.0,4.63,36.0,15.0,121.0,6.98,4.27,2014,71.0,0
James White,RB,Wisconsin,5-9,204.0,4.57,32.0,23.0,114.0,7.05,4.2,2014,69.0,0
Damien Williams,RB,Oklahoma,5-11,222.0,4.45,35.5,16.0,121.0,7.37,4.25,2014,71.0,0
Albert Wilson,WR,Georgia State,5-9,202.0,4.43,37.5,10.0,123.0,7.0,4.21,2014,69.0,0
Ameer Abdullah,RB,Nebraska,5-9,205.0,4.6,42.5,24.0,130.0,6.79,3.95,2015,69.0,0
Jay Ajayi,RB,Boise State,6-0,221.0,4.57,39.0,19.0,121.0,7.1,4.1,2015,72.0,0
Mario Alford,WR,West Virginia,5-8,180.0,4.43,34.0,13.0,121.0,6.64,4.07,2015,68.0,0
Javorius Allen,RB,USC,6-0,221.0,4.53,35.5,11.0,121.0,6.96,4.28,2015,72.0,0
Blake Bell,TE,Oklahoma,6-6,252.0,4.8,33.0,14.0,116.0,6.85,4.32,2015,78.0,1
Kenny Bell,WR,Nebraska,6-1,197.0,4.42,41.5,7.0,129.0,6.66,4.15,2015,73.0,0
Nick Boyle,TE,Pittsburgh,6-4,268.0,5.04,30.5,20.0,112.0,7.13,4.23,2015,76.0,1
Da'Ron Brown,WR,Northern Illinois,6-0,205.0,4.54,37.0,17.0,120.0,7.04,4.11,2015,72.0,0
Malcolm Brown,RB,Texas,5-11,224.0,4.62,34.5,19.0,117.0,6.86,4.15,2015,71.0,0
Alex Carter,CB,Stanford,6-0,196.0,4.51,40.0,17.0,121.0,7.05,4.07,2015,72.0,0
Kaelin Clay,WR,Utah,5-10,195.0,4.51,33.0,10.0,113.0,6.97,4.26,2015,70.0,0
Sammie Coates,WR,Auburn,6-1,212.0,4.43,41.0,23.0,131.0,6.98,4.06,2015,73.0,0
Justin Coleman,CB,Tennessee,5-11,185.0,4.53,37.5,20.0,124.0,6.61,3.98,2015,71.0,0
Chris Conley,WR,Georgia,6-2,213.0,4.35,45.0,18.0,139.0,7.06,4.3,2015,74.0,0
Justin Cox,CB,Mississippi State,6-1,191.0,4.36,38.0,15.0,129.0,7.05,4.07,2015,73.0,0
John Crockett,RB,North Dakota State,6-0,217.0,4.62,40.0,15.0,125.0,7.15,4.25,2015,72.0,0
Jamison Crowder,WR,Duke,5-8,185.0,4.56,37.0,10.0,115.0,7.17,4.32,2015,68.0,0
Ronald Darby,CB,Florida State,5-11,193.0,4.38,41.5,12.0,129.0,6.94,4.14,2015,71.0,0
Devante Davis,WR,UNLV,6-3,220.0,4.57,35.5,16.0,115.0,7.25,4.12,2015,75.0,0
Geremy Davis,WR,Connecticut,6-2,216.0,4.49,36.5,23.0,124.0,6.86,4.18,2015,74.0,0
Mike Davis,RB,South Carolina,5-9,217.0,4.61,34.0,17.0,116.0,7.0,4.18,2015,69.0,0
Quandre Diggs,CB,Texas,5-9,196.0,4.56,35.5,17.0,113.0,7.22,4.15,2015,69.0,0
Phillip Dorsett,WR,Miami (FL),5-10,185.0,4.33,37.0,13.0,122.0,6.7,4.11,2015,70.0,0
Lorenzo Doss,CB,Tulane,5-10,182.0,4.5,33.5,9.0,115.0,7.2,4.26,2015,70.0,0
Jahwan Edwards,RB,Ball State,5-9,220.0,4.8,35.5,16.0,117.0,7.63,4.5,2015,69.0,1
Clayton Geathers,S,Central Florida,6-2,218.0,4.55,37.0,22.0,120.0,7.21,4.27,2015,74.0,0
Senquez Golson,CB,Mississippi,5-9,176.0,4.46,33.5,15.0,120.0,6.81,4.2,2015,69.0,0
Melvin Gordon,RB,Wisconsin,6-1,215.0,4.52,35.0,19.0,126.0,7.04,4.07,2015,73.0,0
Dorial Green-Beckham,WR,Oklahoma,6-5,237.0,4.49,33.5,13.0,119.0,6.89,4.45,2015,77.0,1
Ladarius Gunter,S,Miami (FL),6-1,202.0,4.62,33.5,12.0,108.0,7.18,4.41,2015,73.0,1
Rannell Hall,WR,Central Florida,6-0,198.0,4.6,41.0,16.0,132.0,6.86,4.15,2015,72.0,0
Justin Hardy,WR,East Carolina,5-10,192.0,4.56,36.5,11.0,114.0,6.63,4.21,2015,70.0,0
Josh Harper,WR,Fresno State,6-1,191.0,4.64,32.0,13.0,108.0,7.15,4.36,2015,73.0,1
Braylon Heard,RB,Kentucky,5-10,198.0,4.63,30.5,19.0,116.0,7.19,4.4,2015,70.0,1
Jesse James,TE,Penn State,6-7,261.0,4.83,37.5,26.0,121.0,7.53,4.5,2015,79.0,1
Kyshoen Jarrett,S,Virginia Tech,5-10,200.0,4.57,33.0,21.0,109.0,6.95,4.4,2015,70.0,0
Anthony Jefferson,S,UCLA,6-1,198.0,4.72,33.5,15.0,116.0,7.18,4.15,2015,73.0,0
Gus Johnson,RB,Stephen F. Austin,5-10,215.0,4.7,36.5,26.0,120.0,7.09,4.13,2015,70.0,0
David Johnson,RB,New Mexico,6-1,224.0,4.5,41.5,25.0,127.0,6.82,4.27,2015,73.0,0
