Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in
Quincy Carter,QB,Georgia,6-2,225.0,4.58,35.5,,113.0,7.12,4.12,2001,74.0
Chris Chambers,WR,Wisconsin,6-0,210.0,4.33,45.0,,134.0,,4.0,2001,72.0
Kenny Clark,WR,Central Florida,6-1,225.0,4.59,35.5,,121.0,,,2001,73.0
Tay Cody,CB,Florida State,5-9,181.0,4.55,,11.0,,,,2001,69.0
Justin Coleman,QB,Nebraska-Kearney,6-4,238.0,5.22,29.5,,101.0,7.78,4.62,2001,76.0
Derek Combs,RB,Ohio State,6-0,193.0,4.42,35.0,8.0,120.0,6.96,4.07,2001,72.0
Jarrod Cooper,S,Kansas State,6-0,222.0,4.45,41.5,,130.0,6.87,3.9,2001,72.0
Rodney Crayton,CB,Auburn,5-8,178.0,4.6,35.5,13.0,118.0,7.25,4.4,2001,68.0
Corey Crume,RB,East. Kentucky,5-11,225.0,4.76,37.0,15.0,115.0,7.36,4.32,2001,71.0
Alge Crumpler,TE,North Carolina,6-2,266.0,4.76,34.0,22.0,112.0,7.38,4.43,2001,74.0
Ronney Daniels,WR,Auburn,6-1,212.0,4.61,34.5,,118.0,,,2001,73.0
Tony Dixon,S,Alabama,6-1,213.0,4.63,37.0,17.0,117.0,7.38,,2001,73.0
Jason Doering,S,Wisconsin,5-11,202.0,4.73,,,,7.07,4.12,2001,71.0
Patrick Dyson,CB,Utah,5-11,192.0,4.55,31.5,,114.0,,,2001,71.0
Andre Dyson,CB,Utah,5-10,179.0,4.4,,,119.0,,,2001,70.0
Nijrell Eason,CB,Arizona State,6-1,201.0,4.59,34.5,19.0,119.0,,,2001,73.0
Robert Ferguson,WR,Texas A&M,6-1,205.0,4.48,36.5,,120.0,7.24,4.07,2001,73.0
Dauntae' Finger,TE,North Carolina,6-4,262.0,5.09,33.5,15.0,103.0,7.95,4.59,2001,76.0
Richmond Flowers,WR,Tenn-Chattanooga,5-11,195.0,4.55,35.5,,114.0,6.98,3.96,2001,71.0
Shawn Forte,S,Maryland,6-1,204.0,4.54,,20.0,,,,2001,73.0
Curtis Fuller,S,TCU,5-10,186.0,4.45,36.0,18.0,114.0,7.2,4.21,2001,70.0
Derrick Gibson,S,Florida State,6-2,218.0,4.45,,17.0,,,,2001,74.0
Kenneth Grant,CB,Kentucky,5-10,204.0,4.53,39.0,,115.0,7.15,4.34,2001,70.0
Javon Green,WR,Colorado,6-1,211.0,4.73,35.5,,113.0,7.41,4.34,2001,73.0
Latef Grim,WR,Pittsburgh,5-11,188.0,4.6,,,111.0,7.27,4.33,2001,71.0
Daniel Guy,WR,Jackson State,6-2,211.0,4.61,38.5,,125.0,7.35,4.29,2001,74.0
Corey Hall,S,Appalachian State,6-3,198.0,4.5,36.5,14.0,127.0,,,2001,75.0
Antoine Harris,TE,Louisville,6-3,260.0,4.93,,11.0,,,,2001,75.0
Shaunard Harts,S,Boise State,6-0,200.0,4.56,34.5,12.0,119.0,7.14,,2001,72.0
Tim Hasselbeck,QB,Boston Col.,6-1,211.0,4.83,33.0,,113.0,7.27,4.4,2001,73.0
